hs3 185386556 185394489 ABCF3
hs3 51984081 51990255 ABHD14A
hs19 6086709 6144112 ACSBG2
hs3 185375327 185384573 AP2M1
hs22 41522475 41583352 ARFGAP3
hs10 98971919 99042403 ARHGAP19
hs7 98761431 98801825 ARPC1A
hs1 153571675 153798948 ASH1L
hs8 124401271 124477886 ATAD2
hs14 95817347 95899431 ATG2B
hs3 183993984 184122115 ATP11B
hs1 201862550 201979832 ATP2B4
hs19 1733075 1763199 ATP8B3
hs12 56477427 56496119 AVIL
hs18 27456206 27518684 B4GALT6
hs19 49943817 49955141 BCL3
hs10 81828405 81842287 C10orf57
hs11 113767379 113776349 C11orf71
hs17 8068863 8092138 C17orf68
hs19 3495196 3508571 C19orf28
hs6_qbl_hap2 2938737 2940428 C6orf25
hs16 86479125 86527613 CA5A
hs16 24174376 24281238 CACNG3
hs5 149579247 149649596 CAMK2A
hs8 27646751 27686089 CCDC25
hs12 56428269 56432431 CDK4
hs9 21957751 21984490 CDKN2A
hs5 149526536 149544314 CDX1
hs4 54570714 54625545 CHIC2
hs14 23748626 23753025 CHMP4A
hs7 29486010 29520469 CHN2
hs12 100615547 100646977 CHPT1
hs3 185546670 185562085 CLCN2
hs1 24944346 25043403 CLIC4
hs16 57111355 57221251 CNOT1
hs12 68923043 69035040 CNOT2
hs12 56343855 56363854 CNV
hs12 56363855 56383854 CNV
hs12 56383855 56393854 CNV
hs12 56393855 56443854 CNV
hs12 56443855 56588854 CNV
hs12 56588855 56768854 CNV
hs12 64273855 64553854 CNV
hs12 67158855 67198854 CNV
hs12 67358855 67393854 CNV
hs12 67393855 67453854 CNV
hs12 67453855 67468854 CNV
hs12 67468855 67553854 CNV
hs12 67553855 67583854 CNV
hs12 67583855 67588854 CNV
hs12 67588855 67633854 CNV
hs12 67633855 68088854 CNV
hs12 68108855 69188854 CNV
hs12 69188855 69253854 CNV
hs14 19494474 40699473 CNV
hs14 40699474 73069473 CNV
hs18 73964317 74034316 CNV
hs18 74114317 74584316 CNV
hs1 200659269 202529268 CNV
hs1 202529269 203749268 CNV
hs22 22674219 22684218 CNV
hs22 22684219 22699218 CNV
hs22 22699219 22704218 CNV
hs22 22704219 22724218 CNV
hsY 10375451 10515450 CNV
hsY 10515451 12500450 CNV
hsY 12500451 24685450 CNV
hsY 3225451 6650450 CNV
hsY 6695451 10375450 CNV
hs3 182999067 184239066 CNV
hs3 184239067 186169066 CNV
hs4 52381414 54006413 CNV
hs4 54006414 54526413 CNV
hs4 54526414 54531413 CNV
hs4 54531414 54556413 CNV
hs4 54556414 54741413 CNV
hs4 54741414 55191413 CNV
hs4 55191414 55456413 CNV
hs7 54640214 54670213 CNV
hs7 54670214 54705213 CNV
hs7 54705214 54750213 CNV
hs7 54750214 54765213 CNV
hs7 54765214 54820213 CNV
hs7 54820214 54835213 CNV
hs7 54835214 54890213 CNV
hs7 54890214 54935213 CNV
hs7 54935214 55190213 CNV
hs7 55190214 55250213 CNV
hs7 55250214 55260213 CNV
hs7 55260214 55315213 CNV
hs7 55315214 55350213 CNV
hs7 55350214 55440213 CNV
hs7 55440214 55510213 CNV
hs7 55510214 55630213 CNV
hs9 19508132 21063131 CNV
hs9 21123132 21228131 CNV
hs9 21228132 21698131 CNV
hs9 21698132 21733131 CNV
hs9 21733132 21753131 CNV
hs9 21753132 21768131 CNV
hs9 21793132 21818131 CNV
hs9 21818132 21843131 CNV
hs9 21888132 21898131 CNV
hs9 21898132 21933131 CNV
hs9 22008132 22078131 CNV
hs9 26033132 26643131 CNV
hs12 56499976 56527014 CTDSP2
hs17 58863396 58877454 CYB561
hs1 201197624 201203027 CYB5R1
hs10 104580277 104587280 CYP17A1
hs2 219354715 219388260 CYP27A1
hs12 56442383 56447243 CYP27B1
hs3 184143252 184181020 DCUN1D1
hs1 20850846 20860624 DDOST
hsY 13526092 13541784 DDX3Y
hs8 6769628 6771008 DEFA6
hs2 219991342 219999705 DES
hs14 79733621 79747596 DIO2
hs13 49554414 49577434 DLEU1
hs3 185355977 185374008 DVL3
hsX 37583033 37591833 DYNLT3
hs11 65390487 65396916 EFEMP2
hs7 55054218 55242525 EGFR
hsY 21146998 21164428 EIF1AY
hs3 185335503 185345793 EIF2B5
hs3 172088897 172109120 EIF5A2
hs16 10529780 10582040 EMP2
hs1 8843649 8861367 ENO1
hs3 135996788 136461995 EPHB1
hs1 202366812 202387930 ETNK2
hs4 56414572 56466001 EXOC1
hs8 82355339 82359563 FABP5
hs2 95432174 95442606 FAHD2A
hs12 56452649 56462591 FAM119B
hs14 85066240 85164023 FLRT2
hs12 68150395 68259829 FRS2
hs5 132224776 132228376 GDF9
hs22 23329123 23354972 GGT1
hs5 42459782 42757683 GHR
hs8 145553032 145555754 GPR172A
hs1 26358097 26361706 GRRP1
hs22 22706138 22714284 GSTT1
hsX 2756862 2810861 GYG2
hs19 51498715 51538530 HIF3A
hs7 27099138 27102150 HOXA1
hs10 103815136 103817783 HPS6
hs9 26937309 27052931 IFT74
hs12 64869244 64934659 IRAK3
hs19 51078705 51081216 IRF2BP1
hs12 107480423 107487289 ISCU
hs19 53656317 53661179 KCNJ14
hs1 3642408 3653797 KIAA0495
hs1 10193350 10364248 KIF1B
hsX 69426603 69557498 KIF4A
hs4 55218851 55301638 KIT
hs9 21321017 21325429 KLHL9
hs13 49171444 49265058 KPNA3
hs17 36830334 36834348 KRT37
hs7 55400634 55468929 LANCL2
hs3 45405078 45565332 LARS2
hs4 1783003 1827772 LETM1
hs1 204831597 204852527 LGTN
hs19 59536503 59542233 LILRA4
hs18 45342424 45373276 LIPG
hs16 11549082 11588823 LITAF
hs17 53670785 53700877 LPO
hs17 11864859 11987776 MAP2K4
hs6 136919879 137155349 MAP3K5
hs3 184215699 184300059 MCCC1
hs12 67488237 67525478 MDM2
hs1 202752133 202793870 MDM4
hs6 46869052 46915478 MEP1A
hs12 56448617 56452181 METTL1
hs10 131155443 131455773 MGMT
hs9 20334967 20612514 MLLT3
hs22 26474264 26527486 MN1
hs13 19105787 19145598 MPHOSPH8
hs9 21792634 21855969 MTAP
hs15 50271808 50375287 MYO5C
hs10 103568306 103568306 METH
hs10 104603918 104603918 METH
hs10 131155565 131155565 METH
hs10 53129542 53129542 METH
hs11 107843372 107843372 METH
hs11 110675314 110675314 METH
hs11 112690747 112690747 METH
hs11 113776289 113776289 METH
hs11 113776321 113776321 METH
hs11 12089187 12089187 METH
hs11 122259187 122259187 METH
hs11 605519 605519 METH
hs11 6298471 6298471 METH
hs11 68573027 68573027 METH
hs11 7230074 7230074 METH
hs12 10927484 10927484 METH
hs12 118799545 118799545 METH
hs12 13045174 13045174 METH
hs12 131974492 131974492 METH
hs12 38785529 38785529 METH
hs12 54904421 54904421 METH
hs12 54904463 54904463 METH
hs12 54904481 54904481 METH
hs14 23633418 23633418 METH
hs15 37660352 37660352 METH
hs15 72805581 72805581 METH
hs15 87239675 87239675 METH
hs15 98091028 98091028 METH
hs16 66022208 66022208 METH
hs17 43373874 43373874 METH
hs17 44846839 44846839 METH
hs17 4646593 4646593 METH
hs17 4656972 4656972 METH
hs17 54642149 54642149 METH
hs17 56844634 56844634 METH
hs17 9420940 9420940 METH
hs19 11311261 11311261 METH
hs19 2427129 2427129 METH
hs19 42355545 42355545 METH
hs19 50110257 50110257 METH
hs19 50271381 50271381 METH
hs19 51911731 51911731 METH
hs19 54682803 54682803 METH
hs19 62394509 62394509 METH
hs19 62930740 62930740 METH
hs19 63679094 63679094 METH
hs19 9646779 9646779 METH
hs1 109838412 109838412 METH
hs1 11646825 11646825 METH
hs1 160798143 160798143 METH
hs1 19619151 19619151 METH
hs1 203064552 203064552 METH
hs1 205293187 205293187 METH
hs1 208024362 208024362 METH
hs1 21489228 21489228 METH
hs1 32443544 32443544 METH
hs1 32444000 32444000 METH
hs1 40193589 40193589 METH
hs1 42619064 42619064 METH
hs1 46578944 46578944 METH
hs20 24397865 24397865 METH
hs20 35583164 35583164 METH
hs20 36810838 36810838 METH
hs20 43874471 43874471 METH
hs20 57051541 57051541 METH
hs22 16973609 16973609 METH
hs22 36710385 36710385 METH
hs22 36783033 36783033 METH
hs2 163404128 163404128 METH
hs2 230988942 230988942 METH
hs2 238266206 238266206 METH
hs3 127726091 127726091 METH
hs3 137167732 137167732 METH
hs3 140741121 140741121 METH
hs3 143779985 143779985 METH
hs3 144090671 144090671 METH
hs3 154035779 154035779 METH
hs3 198180335 198180335 METH
hs3 48317768 48317768 METH
hs4 996016 996016 METH
hs5 126654456 126654456 METH
hs5 131621711 131621711 METH
hs5 132177303 132177303 METH
hs5 133730487 133730487 METH
hs5 133996525 133996525 METH
hs6 160131780 160131780 METH
hs6 167970692 167970692 METH
hs6 7052951 7052951 METH
hs6 71333361 71333361 METH
hs7 37455100 37455100 METH
hs7 44331466 44331466 METH
hs7 525526 525526 METH
hs7 65217723 65217723 METH
hs8 82355364 82355364 METH
hs8 86277476 86277476 METH
hs9 117956314 117956314 METH
hs9 133142352 133142352 METH
hs9 21958372 21958372 METH
hs9 21958681 21958681 METH
hs9 21995563 21995563 METH
hs9 21995995 21995995 METH
hs9 4480757 4480757 METH
hsX 148521080 148521080 METH
hsX 48219666 48219666 METH
hsX 48915243 48915243 METH
hsX 48943549 48943549 METH
hsX 54483777 54483777 METH
hsY 19614073 19614073 METH
hs6 44333880 44341503 NFKBIE
hsY 15143881 15465242 NLGN4Y
hs3 48310592 48317852 NME6
hs20 35583020 35585504 NNAT
hs12 67366997 67422740 NUP107
hs19 15699833 15700862 OR10H2
hs6_qbl_hap2 269333 270296 OR2W1
hs12 56374004 56401605 OS9
hs4 54790020 54859169 PDGFRA
hs8 22493928 22507755 PDLIM2
hs5 131621249 131637044 PDLIM4
hs11 118561375 118566142 PDZD3
hs2 216611356 216654784 PECR
hs21 44544352 44571688 PFKL
hs19 51214251 51218396 PGLYRP1
hs8 22133160 22145796 PHYHIP
hs12 56271208 56283477 PIP4K2C
hs17 6295307 6400601 PITPNM3
hs1 202454603 202595667 PLEKHA6
hs9 133368109 133389014 POMT1
hs8 30762667 30789894 PPP2CB
hs9 126948672 126992039 PPP6C
hs11 6296751 6298316 PRKCDBP
hsY 7202012 7309586 PRKY
hs8 144757225 144762927 PYCRL
hs12 55933814 55990513 R3HDM2
hs14 101764930 101841284 RAGE
hs13 113765295 113916197 RASA3
hs1 203321894 203357773 RBBP5
hs11 113776593 113784845 RBM7
hs3 140727937 140741361 RBP1
hs2 20510315 20512682 RHOB
hs13 50381892 50442595 RNASEH2B
hs15 64578706 64584238 RPL4
hsY 2769622 2794997 RPS4Y1
hs19 44524947 44567377 SAMD4B
hs3 38862263 38967056 SCN11A
hs11 616312 617173 SCT
hs7 54787433 54794433 SEC61G
hs20 43269051 43271828 SEMG1
hs7 35807151 35911442 SEPT7
hs21 31965183 32026302 SFRS15
hs4 52581617 52599242 SGCB
hs16 46951954 46976730 SIAH1
hs19 54624467 54636620 SLC17A7
hs3 48638159 48647930 SLC26A6
hs20 44771685 44798392 SLC2A10
hs12 67426202 67446120 SLC35E3
hs11 56931002 56951629 SLC43A3
hs12 83798761 83830737 SLC6A15
hs15 40575126 40612548 SNAP23
hs1 202097362 202106903 SNRPE
hs14 49653595 49767849 SOS2
hs22 36698264 36710485 SOX10
hs2 230989114 231118561 SP100
hsX 47930599 47941143 SSX5
hs20 61741504 61755224 STMN3
hs13 74756809 74954251 TBC1D4
hs1 150012579 150029634 TDRKH
hs14 75494194 75517845 TGFB3
hs4 68369188 68432311 TMPRSS11D
hs14 21015174 21037159 TOX4
hs17 7512444 7531588 TP53
hs12 56462794 56477637 TSFM
hs1 229731021 229768892 TSNAX
hs12 56425050 56428293 TSPAN31
hs11 112690460 112742324 TTC12
hsX 153365249 153368126 UBL4A
hs1 159390157 159395270 UFC1
hs19 34390006 34395976 UQCRFS1
hsY 13918782 14101944 UTY
hs11 75203859 75532930 UVRAG
hs17 8003189 8007018 VAMP2
hs18 9903954 9950018 VAPA
hs17 358657 564846 VPS53
hs6 2710664 2730978 WRNIP1
hs3 184898299 185013107 YEATS2
