hsX 2000000 2999999 1.0000
hsX 37000000 37999999 1.0000
hsX 47000000 47999999 1.0000
hsX 48000000 48999999 3.0000
hsX 54000000 54999999 1.0000
hsX 69000000 69999999 1.0000
hsX 148000000 148999999 1.0000
hsX 153000000 153999999 1.0000
hs12 10000000 10999999 1.0000
hs12 13000000 13999999 1.0000
hs12 38000000 38999999 2.0000
hs12 54000000 54999999 5.0000
hs12 55000000 55999999 1.0000
hs12 56000000 56999999 78.0000
hs12 64000000 64999999 2.0000
hs12 67000000 67999999 35.0000
hs12 68000000 68999999 6.0000
hs12 69000000 69999999 3.0000
hs12 83000000 83999999 1.0000
hs12 100000000 100999999 1.0000
hs12 107000000 107999999 1.0000
hs12 118000000 118999999 2.0000
hs12 131000000 131999999 3.0000
hs11 0 999999 2.0000
hs11 6000000 6999999 2.0000
hs11 7000000 7999999 2.0000
hs11 12000000 12999999 1.0000
hs11 56000000 56999999 2.0000
hs11 65000000 65999999 5.0000
hs11 68000000 68999999 1.0000
hs11 75000000 75999999 1.0000
hs11 107000000 107999999 2.0000
hs11 110000000 110999999 1.0000
hs11 112000000 112999999 2.0000
hs11 113000000 113999999 6.0000
hs11 118000000 118999999 1.0000
hs11 122000000 122999999 1.0000
hs22 16000000 16999999 1.0000
hs22 22000000 22999999 8.0000
hs22 23000000 23999999 1.0000
hs22 26000000 26999999 1.0000
hs22 36000000 36999999 3.0000
hs22 41000000 41999999 1.0000
hs10 53000000 53999999 2.0000
hs10 81000000 81999999 1.0000
hs10 98000000 98999999 1.0000
hs10 99000000 99999999 1.0000
hs10 103000000 103999999 2.0000
hs10 104000000 104999999 3.0000
hs10 131000000 131999999 2.0000
hs6_qbl_hap2 0 999999 1.0000
hs6_qbl_hap2 2000000 2999999 1.0000
hs7 0 999999 1.0000
hs7 27000000 27999999 1.0000
hs7 29000000 29999999 1.0000
hs7 35000000 35999999 1.0000
hs7 37000000 37999999 1.0000
hs7 44000000 44999999 1.0000
hs7 54000000 54999999 22.0000
hs7 55000000 55999999 23.0000
hs7 65000000 65999999 1.0000
hs7 98000000 98999999 1.0000
hs4 0 999999 1.0000
hs4 1000000 1999999 1.0000
hs4 52000000 52999999 2.0000
hs4 53000000 53999999 1.0000
hs4 54000000 54999999 17.0000
hs4 55000000 55999999 5.0000
hs4 56000000 56999999 3.0000
hs4 68000000 68999999 1.0000
hs16 3000000 3999999 1.0000
hs16 10000000 10999999 1.0000
hs16 11000000 11999999 1.0000
hs16 24000000 24999999 1.0000
hs16 46000000 46999999 1.0000
hs16 57000000 57999999 1.0000
hs16 66000000 66999999 1.0000
hs16 86000000 86999999 1.0000
hs20 24000000 24999999 1.0000
hs20 35000000 35999999 2.0000
hs20 36000000 36999999 4.0000
hs20 43000000 43999999 4.0000
hs20 44000000 44999999 2.0000
hs20 57000000 57999999 1.0000
hs20 61000000 61999999 2.0000
hs18 9000000 9999999 1.0000
hs18 27000000 27999999 1.0000
hs18 45000000 45999999 1.0000
hs18 73000000 73999999 3.0000
hs18 74000000 74999999 5.0000
hs13 19000000 19999999 1.0000
hs13 49000000 49999999 2.0000
hs13 50000000 50999999 1.0000
hs13 74000000 74999999 1.0000
hs13 113000000 113999999 1.0000
hs3 38000000 38999999 1.0000
hs3 45000000 45999999 1.0000
hs3 48000000 48999999 3.0000
hs3 51000000 51999999 1.0000
hs3 127000000 127999999 2.0000
hs3 135000000 135999999 1.0000
hs3 136000000 136999999 1.0000
hs3 137000000 137999999 2.0000
hs3 140000000 140999999 4.0000
hs3 143000000 143999999 1.0000
hs3 144000000 144999999 1.0000
hs3 154000000 154999999 1.0000
hs3 172000000 172999999 1.0000
hs3 182000000 182999999 6.0000
hs3 183000000 183999999 7.0000
hs3 184000000 184999999 15.0000
hs3 185000000 185999999 10.0000
hs3 186000000 186999999 4.0000
hs3 198000000 198999999 1.0000
hs9 4000000 4999999 3.0000
hs9 19000000 19999999 1.0000
hs9 20000000 20999999 2.0000
hs9 21000000 21999999 34.0000
hs9 22000000 22999999 1.0000
hs9 26000000 26999999 2.0000
hs9 27000000 27999999 1.0000
hs9 117000000 117999999 1.0000
hs9 126000000 126999999 1.0000
hs9 133000000 133999999 2.0000
hs15 37000000 37999999 1.0000
hs15 40000000 40999999 1.0000
hs15 50000000 50999999 1.0000
hs15 64000000 64999999 1.0000
hs15 72000000 72999999 1.0000
hs15 87000000 87999999 1.0000
hs15 98000000 98999999 1.0000
hs5 0 999999 1.0000
hs5 42000000 42999999 1.0000
hs5 126000000 126999999 1.0000
hs5 131000000 131999999 2.0000
hs5 132000000 132999999 2.0000
hs5 133000000 133999999 2.0000
hs5 149000000 149999999 2.0000
hsY 2000000 2999999 6.0000
hsY 3000000 3999999 3.0000
hsY 4000000 4999999 3.0000
hsY 5000000 5999999 3.0000
hsY 6000000 6999999 6.0000
hsY 7000000 7999999 4.0000
hsY 8000000 8999999 3.0000
hsY 9000000 9999999 3.0000
hsY 10000000 10999999 5.0000
hsY 11000000 11999999 1.0000
hsY 12000000 12999999 3.0000
hsY 13000000 13999999 9.0000
hsY 14000000 14999999 3.0000
hsY 15000000 15999999 3.0000
hsY 16000000 16999999 2.0000
hsY 17000000 17999999 2.0000
hsY 18000000 18999999 2.0000
hsY 19000000 19999999 6.0000
hsY 20000000 20999999 2.0000
hsY 21000000 21999999 7.0000
hsY 22000000 22999999 2.0000
hsY 23000000 23999999 2.0000
hsY 24000000 24999999 2.0000
hs19 1000000 1999999 1.0000
hs19 2000000 2999999 4.0000
hs19 3000000 3999999 1.0000
hs19 6000000 6999999 1.0000
hs19 9000000 9999999 1.0000
