link87235 hs8 6769628 6771008 color=vlgrey,thickness=3.37033,z=-1
link87235 hs19 2427129 2427129 color=vlgrey,thickness=3.37033,z=-1
link87236 hs17 6295307 6400601 color=vlgrey,thickness=3.06241,z=-1
link87236 hs19 2427129 2427129 color=vlgrey,thickness=3.06241,z=-1
link87237 hs19 51214251 51218396 color=dblue,thickness=2.94472,z=0.339590860930750632
link87237 hs19 2427129 2427129 color=dblue,thickness=2.94472,z=0.339590860930750632
link87238 hs13 49554414 49577434 color=vlgrey,thickness=2.86156,z=-1
link87238 hs19 2427129 2427129 color=vlgrey,thickness=2.86156,z=-1
link129827 hs20 43269051 43271828 color=vlgrey,thickness=3.05221,z=-1
link129827 hs19 42355545 42355545 color=vlgrey,thickness=3.05221,z=-1
link129828 hs19 59536503 59542233 color=dblue,thickness=2.96191,z=0.337619981700996992
link129828 hs19 42355545 42355545 color=dblue,thickness=2.96191,z=0.337619981700996992
link190878 hs19 44524947 44567377 color=dblue,thickness=2.96545,z=0.337216948523832808
link190878 hs19 50110257 50110257 color=dblue,thickness=2.96545,z=0.337216948523832808
link192272 hs1 3642408 3653797 color=vlgrey,thickness=2.80273,z=-1
link192272 hs19 50271381 50271381 color=vlgrey,thickness=2.80273,z=-1
link205652 hs19 54624467 54636620 color=dblue,thickness=3.0193,z=0.331202596628357566
link205652 hs19 51911731 51911731 color=dblue,thickness=3.0193,z=0.331202596628357566
link205653 hs16 24174376 24281238 color=vlgrey,thickness=3.00388,z=-1
link205653 hs19 51911731 51911731 color=vlgrey,thickness=3.00388,z=-1
link205655 hs8 22133160 22145796 color=vlgrey,thickness=2.80528,z=-1
link205655 hs19 51911731 51911731 color=vlgrey,thickness=2.80528,z=-1
link205656 hs5 149579247 149649596 color=vlgrey,thickness=2.80174,z=-1
link205656 hs19 51911731 51911731 color=vlgrey,thickness=2.80174,z=-1
link232521 hs16 3391190 3399363 color=vlgrey,thickness=3.43768,z=-1
link232521 hs19 54682803 54682803 color=vlgrey,thickness=3.43768,z=-1
link232522 hs19 53656317 53661179 color=dblue,thickness=3.43321,z=0.291272599112783663
link232522 hs19 54682803 54682803 color=dblue,thickness=3.43321,z=0.291272599112783663
link292334 hs8 22493928 22507755 color=vlgrey,thickness=3.01006,z=-1
link292334 hs19 62394509 62394509 color=vlgrey,thickness=3.01006,z=-1
link299163 hs15 50271808 50375287 color=vlgrey,thickness=2.88526,z=-1
link299163 hs19 62930740 62930740 color=vlgrey,thickness=2.88526,z=-1
link299164 hs12 100615547 100646977 color=vlgrey,thickness=2.80168,z=-1
link299164 hs19 62930740 62930740 color=vlgrey,thickness=2.80168,z=-1
link309507 hs16 57111355 57221251 color=vlgrey,thickness=3.15577,z=-1
link309507 hs19 63679094 63679094 color=vlgrey,thickness=3.15577,z=-1
link322355 hs20 61809834 61837938 color=vlgrey,thickness=2.99215,z=-1
link322355 hs1 160798143 160798143 color=vlgrey,thickness=2.99215,z=-1
link333888 hs5 42459782 42757683 color=vlgrey,thickness=2.93584,z=-1
link333888 hs19 9646779 9646779 color=vlgrey,thickness=2.93584,z=-1
link412820 hsX 153365249 153368126 color=vlgrey,thickness=3.04108,z=-1
link412820 hs2 163404128 163404128 color=vlgrey,thickness=3.04108,z=-1
link527477 hs2 230989114 231118561 color=dblue,thickness=3.11665,z=0.320857330787865176
link527477 hs2 230988942 230988942 color=dblue,thickness=3.11665,z=0.320857330787865176
link546405 hs3 140727937 140741361 color=vlgrey,thickness=2.90836,z=-1
link546405 hs2 238266206 238266206 color=vlgrey,thickness=2.90836,z=-1
link737168 hs1 201197624 201203027 color=vlgrey,thickness=2.91886,z=-1
